ratings,text,date,sentimentType,commentCategoryName
5,พดน้ย้ยพวดว้ววัุฝองงะงองะด,2025-06-07,Neutral,Other
5,ไม่ตรงปกเลยค่ะ,2025-06-07,Negative,Product
3,เราสั่งมาได้1บาทมันโปร พอมาถึงคือเล็กมาก เท่าสมุดเรียนเรา วัสดุตรงขามันไม่ค่อยแข็งแรง พลาสติดอ่อนๆ  ไม่ได้ว่านะ ไม่รู้ว่าถ้าสั่งราคาจริงจะขนาดใหญ่กว่านี้หรือเท่ากัน,2025-06-07,Negative,Product
5,ได้มาในราคา 1 บาทน่ารักดีคะ,2025-06-07,Positive,Product
5,ได้มา 1.- คุ้มสุดดดด,2025-06-07,Neutral,Other
5,คุณภาพดีมากคะ,2025-06-07,Positive,Product
5,"การออกแบบ:สวยงาม
 ความทนทาน:ไม่ค่อยทน ดูบางมากค่ะ
 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",2025-06-07,Negative,Product
5,สมราคา จัดส่งไว และแพ็คสินค้าดี,2025-06-07,Positive,Delivery
5,ความทนทาน:แข็งแรงใช้ได้,2025-06-07,Neutral,Other
5,1 บาทไม่คิดจะได้จริงๆ,2025-06-07,Negative,Product
5,ชั้นวางของได้รับเรียบร้อยแล้วค่ะถูกใจค่ะขอบคุณมากครับ,2025-06-07,Positive,Product
5,ดีครับ,2025-06-07,Positive,Product
5,ความทนทาน:ค่อนข้างบาง,2025-06-07,Neutral,Other
5,,2025-06-07,Neutral,Other
5,ความทนทาน:ใช้ดีมากสวยด้วย,2025-06-07,Positive,Product
5,สินค้าเหมาะสมกับราคาค่ะ ใช้ได้เลย,2025-06-07,Positive,Product
5,คุณภาพตามราคาวัสดุพอได้ไม่ได้แข็งแรงมากวางของเบาเบาอยู่,2025-06-07,Negative,Product
5,สินค้า ส่งไว วัสดุโอเค ราคาถูกมาก ประกอบใช้งานง่าย,2025-06-07,Positive,Delivery
5,น่ารักค่ะ ใส่ของกะจุกกะจิกเหมาะดีค่ะ,2025-06-07,Positive,Product
5,บอบบางมากๆๆๆๆๆๆๆๆแต่ก็แค่บาทเดียว😄😄😄😄😄😄😄😄😄😄บอบบางมากๆๆๆๆๆๆๆๆแต่ก็แค่บาทเดียว😄😄😄😄😄😄😄😄😄😄,2025-06-07,Neutral,Product
5,"Good design, light weight, not strong, cannot bare much weight, safe for children",2025-06-07,Neutral,Other
5,ดี ตรงปก,2025-06-07,Positive,Product
5,สิ่งค้าจริงสวยมาก ได้มาในราคา1บาท,2025-06-07,Positive,Product
5,The quality of the product is poor.,2025-06-07,Neutral,Other
